,beats,dynamic
0,0,n
1,0,n
2,1,f
3,0,n
4,0,n
5,1,f
6,0,n
7,0,n
8,0,n
9,1,p
10,0,n
11,0,n
12,1,f
13,0,n
14,0,n
15,0,n
16,1,f
17,0,n
18,0,n
19,1,f
20,0,n
21,0,n
22,1,f
23,0,n
24,0,n
25,1,f
26,0,n
27,0,n
28,1,f
29,0,n
30,0,n
31,1,f
32,0,n
33,0,n
34,0,n
35,1,f
36,1,f
37,0,n
38,0,n
39,1,f
40,0,n
41,0,n
42,1,f
43,0,n
44,0,n
45,1,f
46,1,f
47,0,n
48,0,n
49,1,f
50,0,n
51,0,n
52,1,f
53,0,n
54,0,n
55,1,p
56,0,n
57,0,n
58,1,p
59,0,n
60,1,p
61,0,n
62,0,n
63,1,p
64,0,n
65,0,n
66,1,f
67,0,n
68,0,n
69,1,p
70,0,n
71,0,n
72,1,p
73,0,n
74,0,n
75,1,f
76,0,n
77,0,n
78,1,f
79,0,n
80,0,n
81,1,f
82,0,n
83,0,n
84,1,f
85,0,n
86,0,n
87,1,f
88,0,n
89,0,n
90,1,f
91,0,n
92,0,n
93,1,f
94,0,n
95,0,n
96,1,f
97,0,n
98,0,n
99,1,f
100,0,n
101,0,n
102,1,f
103,0,n
104,0,n
105,1,p
106,0,n
107,0,n
108,1,f
109,0,n
110,0,n
111,1,f
112,0,n
113,0,n
114,1,f
115,0,n
116,0,n
117,1,f
118,0,n
119,0,n
120,1,f
121,1,f
122,0,n
123,0,n
124,1,f
125,0,n
126,1,f
127,0,n
128,0,n
129,1,f
130,0,n
131,0,n
132,1,f
133,0,n
134,0,n
135,1,f
136,0,n
137,0,n
138,1,f
139,0,n
140,0,n
141,1,f
142,0,n
143,0,n
144,1,f
145,0,n
146,0,n
147,1,f
148,0,n
149,0,n
